participant_id,file,true_label,condition,eps_l,model_pred,response,rt_ms
4,images/nke_eps5_130.png,airplane,nke,5,airplane,automobile,372399
4,images/gauss_eps1_146.png,dog,gauss,1,dog,dog,1765
4,images/nke_eps0_59.png,ship,clean,0,ship,ship,3350
4,images/gauss_eps8_8.png,automobile,gauss,8,automobile,cannot_tell,14120
4,images/gauss_eps2.5_158.png,cat,gauss,2.5,cat,cat,2491
4,images/gauss_eps16_143.png,horse,gauss,16,horse,cannot_tell,2671
4,images/nke_eps2.5_172.png,frog,nke,2.5,frog,frog,2528
4,images/gauss_eps12_167.png,cat,gauss,12,cat,frog,2150
4,images/gauss_eps5_92.png,dog,gauss,5,dog,cat,5412
4,images/gauss_eps1_32.png,bird,gauss,1,bird,bird,2730
4,images/nke_eps5_169.png,airplane,nke,5,airplane,cannot_tell,5090
4,images/nke_eps2.5_177.png,cat,nke,2.5,cat,cat,1541
4,images/gauss_eps16_74.png,airplane,gauss,16,airplane,cannot_tell,1770
4,images/gauss_eps1_195.png,cat,gauss,1,cat,cat,1713
4,images/gauss_eps8_103.png,deer,gauss,8,deer,cannot_tell,1539
4,images/gauss_eps2.5_148.png,automobile,gauss,2.5,automobile,automobile,1444
4,images/nke_eps12_91.png,frog,nke,12,frog,cannot_tell,1330
4,images/nke_eps12_50.png,bird,nke,12,bird,cannot_tell,3677
4,images/gauss_eps16_111.png,horse,gauss,16,horse,cannot_tell,959
4,images/nke_eps12_109.png,cat,nke,12,cat,cannot_tell,3676
4,images/gauss_eps5_193.png,truck,gauss,5,truck,automobile,6716
4,images/gauss_eps8_185.png,truck,gauss,8,truck,dog,3693
4,images/nke_eps1_62.png,automobile,nke,1,automobile,automobile,1894
4,images/nke_eps0_5.png,deer,clean,0,deer,deer,1993
4,images/nke_eps12_150.png,dog,nke,12,dog,cannot_tell,1500
4,images/nke_eps0_48.png,airplane,clean,0,airplane,airplane,2050
4,images/nke_eps16_147.png,dog,nke,16,dog,cannot_tell,1756
4,images/nke_eps2.5_10.png,frog,nke,2.5,frog,dog,4837
4,images/gauss_eps1_65.png,ship,gauss,1,ship,ship,2234
4,images/nke_eps0_63.png,automobile,clean,0,automobile,automobile,1499
4,images/nke_eps0_197.png,deer,clean,0,deer,deer,1633
4,images/gauss_eps1_57.png,truck,gauss,1,truck,truck,1876
4,images/gauss_eps2.5_64.png,dog,gauss,2.5,dog,dog,2079
4,images/nke_eps2.5_42.png,automobile,nke,2.5,automobile,automobile,2320
4,images/gauss_eps16_106.png,ship,gauss,16,ship,ship,7028
4,images/nke_eps5_151.png,automobile,nke,5,automobile,automobile,5966
4,images/nke_eps2.5_128.png,deer,nke,2.5,deer,deer,9361
4,images/nke_eps8_140.png,bird,nke,8,bird,ship,3849
4,images/nke_eps0_157.png,automobile,clean,0,automobile,automobile,1992
4,images/gauss_eps8_81.png,frog,gauss,8,frog,ship,2461
4,images/gauss_eps5_124.png,horse,gauss,5,horse,horse,2600
4,images/nke_eps1_56.png,ship,nke,1,ship,ship,1655
4,images/nke_eps5_155.png,cat,nke,5,cat,cat,2320
4,images/nke_eps12_44.png,automobile,nke,12,automobile,cannot_tell,2420
4,images/gauss_eps16_45.png,deer,gauss,16,deer,cannot_tell,662
4,images/nke_eps12_47.png,automobile,nke,12,automobile,cannot_tell,651
4,images/nke_eps0_31.png,frog,clean,0,frog,frog,2194
4,images/nke_eps0_7.png,automobile,clean,0,automobile,automobile,1292
4,images/nke_eps8_129.png,automobile,nke,8,automobile,automobile,3559
4,images/gauss_eps1_187.png,frog,gauss,1,frog,cannot_tell,1953
4,images/gauss_eps12_165.png,airplane,gauss,12,airplane,cannot_tell,2164
4,images/nke_eps8_175.png,automobile,nke,8,automobile,automobile,3720
